Ti,Ni,Cu,Fe,Pd,en,ven,dor,Tp
50,45.2,1,3.8,0,1.7219,6.934,0.4084,25.44
50,44.4,2,3.6,0,1.7219,6.948,0.4082,33.92
50,42.8,4,3.2,0,1.722,6.976,0.4078,41.59
50,43.6,3,3.4,0,1.722,6.962,0.408,31.27
50,46,0,4,0,1.7218,6.92,0.4086,39.1
50,44.5,1.5,3,1,1.7254,6.955,0.4104,50.27
50,34,13,0,3,1.7324,7.13,0.4126,25.9
50,34,10,0,6,1.7414,7.1,0.4202,30.2
50,34,12,0,4,1.7354,7.12,0.4151,37.6
50,42,5,3,0,1.7221,6.99,0.4076,46.59
50,35,12,0,3,1.7325,7.12,0.4127,47.7
50,40,0,0,10,1.754,7,0.4312,5.77
50,34,14,0,2,1.7294,7.14,0.41,45.65
50,34,16,0,0,1.7234,7.16,0.4049,60.1
50,44,1,1,4,1.7357,6.99,0.417,34.13
50,34,0,0,16,1.7714,7,0.4457,58.18
50,36.4,12,1.6,0,1.7225,7.088,0.4061,13.24
50,41.2,6,2.8,0,1.7222,7.004,0.4073,53.5
50,38,10,2,0,1.7224,7.06,0.4065,0.68
50,34.8,14,1.2,0,1.7226,7.116,0.4057,1.59
50,39.6,8,2.4,0,1.7223,7.032,0.4069,15.3
50,50,0,0,0,1.725,7,0.407,90.85
50,44,2,4,0,1.7216,6.94,0.4083,53.33
50,44.5,2.1,3.4,0,1.7221,6.953,0.4081,25.11
50,44,2.3,3.6,0.1,1.7222,6.951,0.4084,32.05
50,40.4,4.6,1,4,1.7353,7.026,0.4165,3.33
50,45.7,0,4.3,0,1.7216,6.914,0.4087,42.17
50,45.8,0,4.2,0,1.7216,6.916,0.4087,38.83
50,42.8,3.6,2.8,0.8,1.7247,6.98,0.4096,39.05
50,43.9,2.1,4,0,1.7216,6.941,0.4083,40.34
50,44.5,1.7,3.7,0.1,1.7222,6.943,0.4085,28.04
50,45.7,1.2,3,0.1,1.7228,6.952,0.4083,9.08
50,44,2.3,3.7,0,1.7218,6.949,0.4082,39.36
50,45.1,1.4,3.5,0,1.7221,6.944,0.4082,25.31
50,44.6,1.9,3.4,0.1,1.7224,6.951,0.4084,23.08
50,43.8,2.6,3.6,0,1.7219,6.954,0.4081,33.57
50,43.9,1.5,4.6,0,1.7212,6.923,0.4086,44.91
50,44.5,1.9,3.4,0.2,1.7227,6.951,0.4086,30.05
50,46,1.1,2.8,0.1,1.7229,6.955,0.4082,12.22
50,43.8,2,4.1,0.1,1.7218,6.938,0.4086,42.23
50,43.9,2,4,0.1,1.7219,6.94,0.4086,41.48
50,46.8,0.9,2,0.3,1.7242,6.969,0.4084,16.8
50,44.2,1.9,3.8,0.1,1.7221,6.943,0.4085,29.72
50,46.7,0.8,2.3,0.2,1.7237,6.962,0.4083,8.62
50,44.2,1.9,3.9,0,1.7217,6.941,0.4083,31.29
50,48.1,0.2,1.5,0.2,1.7244,6.972,0.4081,28.71
50,44.5,1.6,3.7,0.2,1.7225,6.942,0.4088,28.87
50,48.2,0.6,0.9,0.3,1.7251,6.988,0.408,47.19
