Ti,Ni,Cu,Fe,Pd,Tp,numa,cs,arc,mr,en,ven,dor,anum,mass,ccs,carc,cmr,cen,cven,cdor,canum,cmass,formula
50.0,45.2,1.0,3.8,0.0,-25.44,4.0,0.9373,162.726,135.616,1.72186,6.934,0.40839,24.934,53.22568,0.23433,40.6815,33.904,0.43047,1.7335,0.1021,6.2335,13.30642,Ti0.5Ni0.452Cu0.01Fe0.038
50.0,44.4,2.0,3.6,0.0,-33.92,4.0,0.9386,162.672,135.652,1.72192,6.948,0.40818,24.948,53.27996,0.23465,40.668,33.913,0.43048,1.737,0.10205,6.237,13.31999,Ti0.5Ni0.444Cu0.02Fe0.036
50.0,42.8,4.0,3.2,0.0,-41.59,4.0,0.9412,162.564,135.724,1.72204,6.976,0.40776,24.976,53.38852,0.2353,40.641,33.931,0.43051,1.744,0.10194,6.244,13.34713,Ti0.5Ni0.428Cu0.04Fe0.032
50.0,43.6,3.0,3.4,0.0,-31.27,4.0,0.9399,162.618,135.688,1.72198,6.962,0.40797,24.962,53.33424,0.23498,40.6545,33.922,0.4305,1.7405,0.10199,6.2405,13.33356,Ti0.5Ni0.436Cu0.03Fe0.034
50.0,46.0,0.0,4.0,0.0,-39.1,3.0,0.936,162.78,135.58,1.7218,6.92,0.4086,24.92,53.1714,0.312,54.26,45.19333,0.57393,2.30667,0.1362,8.30667,17.7238,Ti0.5Ni0.46Fe0.04
50.0,44.5,1.5,3.0,1.0,-50.27,5.0,0.93895,162.85,135.75,1.72535,6.955,0.41043,25.135,53.7498,0.18779,32.57,27.15,0.34507,1.391,0.08209,5.027,10.74996,Ti0.5Ni0.445Cu0.015Fe0.03Pd0.01
50.0,34.0,13.0,0.0,3.0,25.9,4.0,0.9552,162.58,136.41,1.7324,7.13,0.41257,25.67,55.3481,0.2388,40.645,34.1025,0.4331,1.7825,0.10314,6.4175,13.83703,Ti0.5Ni0.34Cu0.13Pd0.03
50.0,34.0,10.0,0.0,6.0,30.2,4.0,0.9528,163.3,136.68,1.7414,7.1,0.42022,26.18,56.6336,0.2382,40.825,34.17,0.43535,1.775,0.10506,6.545,14.1584,Ti0.5Ni0.34Cu0.1Pd0.06
50.0,34.0,12.0,0.0,4.0,37.6,4.0,0.9544,162.82,136.5,1.7354,7.12,0.41512,25.84,55.7766,0.2386,40.705,34.125,0.43385,1.78,0.10378,6.46,13.94415,Ti0.5Ni0.34Cu0.12Pd0.04
50.0,42.0,5.0,3.0,0.0,-46.59,4.0,0.9425,162.51,135.76,1.7221,6.99,0.40755,24.99,53.4428,0.23563,40.6275,33.94,0.43053,1.7475,0.10189,6.2475,13.3607,Ti0.5Ni0.42Cu0.05Fe0.03
