Ti,Ni,Cu,Fe,Pd,Tp,numa,cs,arc,mr,en,ven,dor,anum,mass,ccs,carc,cmr,cen,cven,cdor,canum,cmass
50.0 ,45.2 ,1.0 ,3.8 ,0.0 ,-25.44 ,4.00000 ,0.93730 ,162.72600 ,135.61600 ,1.72186 ,6.93400 ,0.40839 ,24.93400 ,53.22568 ,0.23433 ,40.68150 ,33.90400 ,0.43047 ,1.73350 ,0.10210 ,6.23350 ,13.30642 
50.0 ,44.4 ,2.0 ,3.6 ,0.0 ,-33.92 ,4.00000 ,0.93860 ,162.67200 ,135.65200 ,1.72192 ,6.94800 ,0.40818 ,24.94800 ,53.27996 ,0.23465 ,40.66800 ,33.91300 ,0.43048 ,1.73700 ,0.10205 ,6.23700 ,13.31999 
50.0 ,42.8 ,4.0 ,3.2 ,0.0 ,-41.59 ,4.00000 ,0.94120 ,162.56400 ,135.72400 ,1.72204 ,6.97600 ,0.40776 ,24.97600 ,53.38852 ,0.23530 ,40.64100 ,33.93100 ,0.43051 ,1.74400 ,0.10194 ,6.24400 ,13.34713 
50.0 ,43.6 ,3.0 ,3.4 ,0.0 ,-31.27 ,4.00000 ,0.93990 ,162.61800 ,135.68800 ,1.72198 ,6.96200 ,0.40797 ,24.96200 ,53.33424 ,0.23498 ,40.65450 ,33.92200 ,0.43050 ,1.74050 ,0.10199 ,6.24050 ,13.33356 
50.0 ,46.0 ,0.0 ,4.0 ,0.0 ,-39.10 ,3.00000 ,0.93600 ,162.78000 ,135.58000 ,1.72180 ,6.92000 ,0.40860 ,24.92000 ,53.17140 ,0.31200 ,54.26000 ,45.19333 ,0.57393 ,2.30667 ,0.13620 ,8.30667 ,17.72380 
50.0 ,44.5 ,1.5 ,3.0 ,1.0 ,-50.27 ,5.00000 ,0.93895 ,162.85000 ,135.75000 ,1.72535 ,6.95500 ,0.41043 ,25.13500 ,53.74980 ,0.18779 ,32.57000 ,27.15000 ,0.34507 ,1.39100 ,0.08209 ,5.02700 ,10.74996 
50.0 ,34.0 ,13.0 ,0.0 ,3.0 ,25.90 ,4.00000 ,0.95520 ,162.58000 ,136.41000 ,1.73240 ,7.13000 ,0.41257 ,25.67000 ,55.34810 ,0.23880 ,40.64500 ,34.10250 ,0.43310 ,1.78250 ,0.10314 ,6.41750 ,13.83703 
50.0 ,34.0 ,10.0 ,0.0 ,6.0 ,30.20 ,4.00000 ,0.95280 ,163.30000 ,136.68000 ,1.74140 ,7.10000 ,0.42022 ,26.18000 ,56.63360 ,0.23820 ,40.82500 ,34.17000 ,0.43535 ,1.77500 ,0.10506 ,6.54500 ,14.15840 
50.0 ,34.0 ,12.0 ,0.0 ,4.0 ,37.60 ,4.00000 ,0.95440 ,162.82000 ,136.50000 ,1.73540 ,7.12000 ,0.41512 ,25.84000 ,55.77660 ,0.23860 ,40.70500 ,34.12500 ,0.43385 ,1.78000 ,0.10378 ,6.46000 ,13.94415 
50.0 ,42.0 ,5.0 ,3.0 ,0.0 ,-46.59 ,4.00000 ,0.94250 ,162.51000 ,135.76000 ,1.72210 ,6.99000 ,0.40755 ,24.99000 ,53.44280 ,0.23563 ,40.62750 ,33.94000 ,0.43053 ,1.74750 ,0.10189 ,6.24750 ,13.36070 
