x0,x1,x2,x3,y
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
4.18776e-01,1.04194e-01,6.53319e-02,-9.60155e-02,0.00000e+00
-3.67407e-02,-2.99902e-02,7.48258e-02,3.36840e-01,0.00000e+00
-2.53596e-01,-1.10388e-01,9.75123e-02,-3.38132e-01,0.00000e+00
1.69579e-01,-6.09321e-02,9.71113e-02,7.20723e-02,0.00000e+00
-6.66124e-02,5.96001e-02,1.50562e-01,1.83771e-01,0.00000e+00
1.79350e-01,-9.12801e-02,-1.67589e-01,-1.56969e-01,0.00000e+00
2.52999e-01,-2.18670e-02,-1.90059e-01,1.73237e-02,0.00000e+00
1.36527e-01,-3.90236e-02,2.65644e-02,-4.27961e-03,0.00000e+00
-1.43410e-01,1.07262e-01,-9.94663e-02,1.28383e-02,0.00000e+00
-6.76498e-02,1.09458e-01,5.75168e-03,-2.48265e-01,0.00000e+00
8.19540e-02,2.73203e-01,1.06171e-01,-1.37645e-01,0.00000e+00
4.06994e-02,-1.10819e-02,1.23552e-01,-8.89916e-02,0.00000e+00
2.31299e-01,1.22165e-01,-1.91203e-01,1.17156e-01,0.00000e+00
-3.00296e-02,-2.76073e-01,5.65984e-03,8.37735e-02,0.00000e+00
3.38318e-01,7.75507e-02,-2.13785e-01,7.13047e-02,0.00000e+00
4.51478e-02,-5.94181e-02,-2.05539e-01,-2.15922e-01,0.00000e+00
-1.66584e-02,1.38266e-01,9.56167e-02,-1.43626e-01,0.00000e+00
-1.17783e-01,-1.27949e-01,-2.33664e-01,1.66641e-01,0.00000e+00
-1.77587e-01,3.75476e-01,1.44404e-01,-1.62476e-01,0.00000e+00
1.10890e-01,2.20074e-01,2.12508e-01,-5.12878e-01,0.00000e+00
-1.20317e-01,-4.22982e-02,-2.56930e-02,2.13073e-01,0.00000e+00
1.16230e-01,1.57372e-02,-2.25401e-01,7.22934e-02,0.00000e+00
-6.19540e-02,1.92438e-01,-1.51977e-01,1.37265e-01,0.00000e+00
-2.60576e-02,-1.01916e-01,-1.47338e-01,1.79189e-03,0.00000e+00
3.96720e-02,-1.41566e-01,-1.29445e-01,-2.36906e-01,0.00000e+00
1.22197e+00,8.86016e-01,1.15248e+00,9.16784e-01,1.00000e+00
1.22077e+00,7.59278e-01,9.45063e-01,9.04541e-01,1.00000e+00
9.43342e-01,9.66523e-01,9.00716e-01,9.52704e-01,1.00000e+00
1.13327e+00,9.15958e-01,1.13528e+00,1.04730e+00,1.00000e+00
9.99954e-01,9.09898e-01,9.21175e-01,6.83265e-01,1.00000e+00
9.56754e-01,9.56956e-01,8.98554e-01,1.17454e+00,1.00000e+00
